POI_Query,POI_Categories,POI_Name,POI_Address,POI_Mean_Bayesian_Adj_Rating_Norm,POI_FSQ_Bayesian_Adj_Rating_Norm,POI_FSQ_Bayesian_Adj_Rating,POI_FSQ_Rating,POI_FSQ_Num_Ratings,POI_Yelp_Bayesian_Adj_Rating_Norm,POI_Yelp_Bayesian_Adj_Rating,POI_Yelp_Rating,POI_Yelp_Num_Ratings
Restaurants,"French, Italian, Spanish", Ct,"5478 College Ave Oakland, CA 94618",0.6482352036135638,,,,,0.6482352036135638,3.980944332423653,4.0,1388.0
Restaurants,"Greek, Mediterranean, Salad",$5 Salad,"60 Morris St San Francisco, CA 94103",0.6084713219697531,,,,,0.6084713219697531,3.8922391750964627,2.5,3.0
Restaurants,"Japanese Curry, Ramen",$6 Dollar Bowl Shop,"90 Charter Oak Ave San Francisco, CA 94124",0.6517309424871442,,,,,0.6517309424871442,3.9887426170462006,4.5,57.0
Restaurants,"Burgers, Fast Food",1 800 Burgers,"5333 Adeline St Oakland, CA 94608",0.6015503797256776,,,,,0.6015503797256776,3.876799956256803,1.5,4.0
Bars,"Seafood Markets, Wine Bars",1 Fish 2 Fish Market,"141 Gough St San Francisco, CA 94102",0.6167230178186079,,,,,0.6167230178186079,3.910647035401588,5.0,2.0
Funeral Homes,Funeral Home,1 Hour Marriage,"600 California St, San Francisco, CA 94108",,,,,,,,,
Bars,Lounge,1 Presidio,"1 Presidio Ave, San Francisco, CA 94115",,,,,,,,,
Restaurants,"American Restaurant, Café, Sandwich Restaurant",10th & Wood,"945 Wood St (10th), Oakland, CA 94607",0.6305810264539333,0.6219424497732108,8.169918925949032,8.2,61.0,0.639219603134656,3.9608323557800174,4.0,498.0
Bars,"Art Galleries, Bars, Venues & Event Spaces",111 Minna Gallery,"111 Minna St San Francisco, CA 94105",0.4891077941781869,,,,,0.4891077941781869,3.6259633470290744,3.5,763.0
Bars,Bar,1120 - The Kickit,"1120 11th Ave (east 12 st), Oakland, CA 94606",,,,,,,,,
Bars,Bars,1217 Sutter,"1217 Sutter St San Francisco, CA 94109",0.6153127185979408,,,,,0.6153127185979408,3.9075009437959367,5.0,1.0
Restaurants,"Breakfast & Brunch, Cafes",1275 Cafe,"1275 Market St San Francisco, CA 94103",0.6140180976013503,,,,,0.6140180976013503,3.904612906853006,4.0,1.0
Restaurants,Restaurant,1275 Restaurant Project San Francisco,"1275 Minnesota St, San Francisco, CA 94107",,,,,,,,,
Restaurants,"Bagels, Burgers, Cafes",130 Cafe,"130 Frank H Ogawa Plz Oakland, CA 94612",0.6160191833116376,,,,,0.6160191833116376,3.9090769233277123,4.0,18.0
Restaurants,"American (Traditional), Breakfast & Brunch, Creperies",1428 HAIGHT Patio Cafe & Crepery,"1428 Haight St San Francisco, CA 94117",0.6385495084992602,,,,,0.6385495084992602,3.959337510518447,4.0,467.0
Restaurants,"American Restaurant, Café, Creperie",1428 Haight,"1428 Haight St (at Masonic Ave), San Francisco, CA 94117",0.389554495945657,0.389554495945657,7.546191868424147,6.7,128.0,,,,
"Bars, Restaurants","American Restaurant, Cocktail Bar, Tapas Restaurant",15 Romolo,"15 Romolo Pl (btwn Fresno St & Broadway), San Francisco, CA 94133",0.6693957660554821,0.6923877302761341,8.358993388720922,8.4,859.0,0.64640380183483,3.9768588463947214,4.0,1082.0
